プラン,月額料金,契約月数,直近30日ログイン日数,月間視聴時間,サポート問合せ回数,値上げ経験,解約
ライト,790,7,18,38.0,2,0,0
プレミアム,1980,15,13,35.3,1,0,1
スタンダード,1480,14,3,8.5,0,0,0
スタンダード,1480,1,8,26.2,1,1,1
ライト,490,25,20,35.7,0,0,0
スタンダード,990,19,10,27.9,0,0,0
プレミアム,1980,33,19,27.9,0,0,0
スタンダード,990,4,15,33.3,2,1,0
スタンダード,990,12,9,20.4,2,1,1
ライト,790,1,9,11.0,1,0,0
ライト,790,9,7,8.1,3,1,0
スタンダード,990,7,18,49.4,1,1,0
プレミアム,1980,9,8,11.5,0,0,0
ライト,490,22,11,31.8,2,1,0
プレミアム,1980,19,14,29.7,1,0,0
ライト,490,11,20,30.9,2,0,0
プレミアム,1980,8,11,19.7,0,1,1
ライト,490,28,11,28.7,2,0,0
プレミアム,1980,14,23,41.2,0,1,0
スタンダード,1480,9,22,35.0,0,0,0
スタンダード,1480,4,8,26.4,2,1,0
スタンダード,990,4,17,16.6,1,0,1
スタンダード,1480,9,18,18.5,2,0,1
スタンダード,990,41,7,16.2,1,0,1
ライト,790,19,25,61.7,1,1,0
ライト,790,13,6,10.9,1,0,0
スタンダード,1480,19,15,31.5,0,1,0
スタンダード,990,2,6,10.9,1,0,1
スタンダード,1480,7,16,49.9,1,1,1
ライト,490,35,26,47.4,1,0,0
スタンダード,1480,11,13,21.4,1,1,0
プレミアム,1980,6,21,53.1,2,1,0
スタンダード,1480,3,29,71.0,1,0,0
ライト,790,11,14,34.4,4,1,1
ライト,790,10,15,25.2,0,1,0
ライト,490,17,16,36.7,1,0,0
プレミアム,1980,7,7,20.1,1,1,0
スタンダード,990,2,12,23.4,1,0,0
ライト,790,14,12,23.0,1,1,0
スタンダード,1480,21,11,20.1,0,0,0
ライト,490,3,9,8.4,1,0,1
スタンダード,1480,3,6,13.8,0,1,0
ライト,490,19,9,15.6,1,1,0
ライト,790,10,29,69.3,2,0,0
ライト,790,12,16,37.1,2,1,1
スタンダード,1480,17,13,10.6,2,0,1
スタンダード,1480,1,13,15.7,0,0,0
ライト,490,5,12,19.3,2,0,0
スタンダード,990,11,21,37.1,2,0,0
プレミアム,1980,8,13,20.7,0,0,0
ライト,790,29,12,24.1,3,0,1
ライト,490,5,14,53.7,1,0,0
ライト,490,22,3,8.5,0,0,0
プレミアム,1980,3,19,55.5,1,1,0
スタンダード,990,4,24,70.8,1,1,1
ライト,790,2,28,53.7,1,0,0
ライト,790,13,6,0.0,0,0,1
ライト,490,15,5,20.2,1,0,1
スタンダード,990,5,10,35.7,2,0,1
スタンダード,1480,10,24,16.0,1,0,0
ライト,490,13,29,36.1,3,1,0
スタンダード,990,18,10,18.4,0,0,0
スタンダード,990,10,2,4.2,1,0,0
スタンダード,1480,8,15,28.0,0,0,0
ライト,790,9,0,6.7,1,0,0
ライト,490,21,4,7.1,2,1,0
スタンダード,1480,24,21,56.3,1,0,0
